Origem,Origem (IATA),Origem (ICAO),Saida,Chegada,Destino,Destino (IATA),Destino (ICAO),Periodo,Frequencia
Congonhas,CGH,SBSP,21:30,23:10,Goiânia,GYN,SBGO,01/maio - 31/maio,Domingo
Congonhas,CGH,SBSP,11:40,13:30,Foz do Iguaçu,IGU,SBFI,01/maio - 31/maio,Domingo
Congonhas,CGH,SBSP,12:00,13:50,Foz do Iguaçu,IGU,SBFI,01/maio - 31/maio,Sexta Sábado
Congonhas,CGH,SBSP,11:10,13:20,Ilhéus,IOS,SBIL,01/maio - 31/maio,Sábado
Congonhas,CGH,SBSP,11:10,12:25,Zona da Mata,IZA,SBZM,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Congonhas,CGH,SBSP,11:30,12:35,Joinville,JOI,SBJV,01/maio - 31/maio,Sexta
Congonhas,CGH,SBSP,12:05,13:10,Joinville,JOI,SBJV,01/maio - 31/maio,Sábado Domingo
Congonhas,CGH,SBSP,21:10,22:15,Joinville,JOI,SBJV,01/maio - 31/maio,Sexta Domingo
Congonhas,CGH,SBSP,13:45,17:00,João Pessoa,JPA,SBJP,01/maio - 31/maio,Sábado
Congonhas,CGH,SBSP,10:50,12:10,Londrina,LDB,SBLO,01/maio - 31/maio,Domingo
Congonhas,CGH,SBSP,12:45,14:00,Londrina,LDB,SBLO,01/maio - 31/maio,Sexta
Congonhas,CGH,SBSP,09:30,12:30,Maceió,MCZ,SBMO,01/maio - 31/maio,Sábado
Congonhas,CGH,SBSP,14:50,17:50,Maceió,MCZ,SBMO,01/maio - 31/maio,Sábado
Congonhas,CGH,SBSP,22:10,01:10,Maceió,MCZ,SBMO,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,13:15,14:40,Maringá,MGF,SBMG,01/maio - 31/maio,Sexta Sábado Domingo
Congonhas,CGH,SBSP,13:40,15:25,Montes Claros,MOC,SBMK,01/maio - 31/maio,Domingo
Congonhas,CGH,SBSP,14:05,15:50,Montes Claros,MOC,SBMK,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,07:45,09:05,Navegantes,NVT,SBNF,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,09:45,10:55,Navegantes,NVT,SBNF,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,14:25,15:40,Navegantes,NVT,SBNF,01/maio - 31/maio,Sexta Domingo
