is_best,cia,departure,arrival,duration,stops,price,origem (IATA),origem (ICAO),origem,destino (IATA),destino (ICAO),destino,distancia
True,Gol,"3:15 AM on Fri, Sep 19","7:00 AM on Fri, Sep 19",3 hr 45 min,0,701,SLZ,SBSL,São Luís,GRU,SBGR,Guarulhos,2319.29
True,Gol,"11:30 PM on Fri, Sep 19","12:50 AM on Sat, Sep 20",1 hr 20 min,0,534,PVH,SBPV,Porto Velho,MAO,SBEG,Manaus,758.51
True,Gol,"2:55 PM on Fri, Sep 19","4:15 PM on Fri, Sep 19",1 hr 20 min,0,354,SSA,SBSV,Salvador,REC,SBRF,Recife,646.69
True,Gol,"9:20 PM on Fri, Sep 19","10:50 PM on Fri, Sep 19",1 hr 30 min,0,478,GRU,SBGR,Guarulhos,MGF,SBMG,Maringá,566.37
True,Gol,"11:30 PM on Fri, Sep 19","1:40 AM on Sat, Sep 20",2 hr 10 min,0,294,SSA,SBSV,Salvador,SLZ,SBSL,São Luís,1314.33
True,Gol,"12:05 PM on Fri, Sep 19","1:50 PM on Fri, Sep 19",1 hr 45 min,0,1000,CGH,SBSP,Congonhas,IGU,SBFI,Foz do Iguaçu,822.2
True,Gol,"2:55 PM on Fri, Sep 19","4:05 PM on Fri, Sep 19",1 hr 10 min,0,965,SSA,SBSV,Salvador,MCZ,SBMO,Maceió,466.51
True,Gol,"6:45 AM on Fri, Sep 19","8:05 AM on Fri, Sep 19",1 hr 20 min,0,1165,PMW,SBPJ,Palmas,BSB,SBBR,Brasília,619.05
True,Gol,"5:25 PM on Fri, Sep 19","9:05 PM on Fri, Sep 19",3 hr 40 min,0,432,BEL,SBBE,Belém,GRU,SBGR,Guarulhos,2449.25
True,Gol,"3:10 AM on Fri, Sep 19","4:35 AM on Fri, Sep 19",1 hr 25 min,0,442,CPV,SBKG,Campina Grande,SSA,SBSV,Salvador,678.19
True,Gol,"4:40 PM on Fri, Sep 19","6:20 PM on Fri, Sep 19",1 hr 40 min,0,338,MOC,SBMK,Montes Claros,CGH,SBSP,Congonhas,821.31
True,Gol,"3:50 PM on Fri, Sep 19","7:05 PM on Fri, Sep 19",3 hr 15 min,0,868,NAT,SBSG,Natal,GIG,SBGL,Galeão,2067.22
True,Gol,"5:10 PM on Fri, Sep 19","7:50 PM on Fri, Sep 19",2 hr 40 min,0,1483,JPA,SBJP,João Pessoa,BSB,SBBR,Brasília,1711.54
True,Gol,"12:45 PM on Fri, Sep 19","2:00 PM on Fri, Sep 19",1 hr 15 min,0,223,CGH,SBSP,Congonhas,LDB,SBLO,Londrina,458.85
True,Gol,"11:20 AM on Fri, Sep 19","12:55 PM on Fri, Sep 19",1 hr 35 min,0,278,CAC,SBCA,Cascavel,GRU,SBGR,Guarulhos,734.51
True,Gol,"4:20 AM on Fri, Sep 19","6:35 AM on Fri, Sep 19",2 hr 15 min,0,1436,THE,SBTE,Teresina,BSB,SBBR,Brasília,1318.98
True,Gol,"7:55 AM on Fri, Sep 19","11:25 AM on Fri, Sep 19",3 hr 30 min,0,950,GIG,SBGL,Galeão,EZE,SAEZ,Ezeiza,1994.98
True,Gol,"12:15 PM on Fri, Sep 19","1:30 PM on Fri, Sep 19",1 hr 15 min,0,443,CGH,SBSP,Congonhas,PPB,SBDN,Presidente Prudente,514.15
True,Gol,"10:40 AM on Fri, Sep 19","11:55 AM on Fri, Sep 19",1 hr 15 min,0,704,RBR,SBRB,Rio Branco,CZS,SBCZ,Cruzeiro do Sul,591.85
True,Gol,"12:35 PM on Fri, Sep 19","1:35 PM on Fri, Sep 19",1 hr,0,335,BEL,SBBE,Belém,MCP,SBMQ,Macapá,329.24
True,Gol,"12:40 PM on Fri, Sep 19","1:50 PM on Fri, Sep 19",1 hr 10 min,0,280,SJP,SBSR,São José do Rio Preto,CGH,SBSP,Congonhas,420.82
True,Gol,"9:40 PM on Fri, Sep 19","10:45 PM on Fri, Sep 19",1 hr 5 min,0,252,FLN,SBFL,Florianópolis,POA,SBPA,Porto Alegre,362.79
True,Gol,"10:05 PM on Fri, Sep 19","12:40 AM on Sat, Sep 20",3 hr 35 min,0,2632,BSB,SBBR,Brasília,BVB,SBBV,Boa Vista,2501.83
True,Gol,"6:35 AM on Fri, Sep 19","8:00 AM on Fri, Sep 19",1 hr 25 min,0,492,MGF,SBMG,Maringá,GRU,SBGR,Guarulhos,566.37
True,Gol,"5:15 AM on Fri, Sep 19","8:15 AM on Fri, Sep 19",3 hr,0,699,JDO,SBJU,Juazeiro do Norte,GRU,SBGR,Guarulhos,1952.84
True,Gol,"4:40 PM on Fri, Sep 19","6:15 PM on Fri, Sep 19",1 hr 35 min,0,286,GRU,SBGR,Guarulhos,XAP,SBCH,Chapecó,745.28
True,Gol,"2:45 PM on Fri, Sep 19","3:05 PM on Fri, Sep 19",1 hr 20 min,0,430,STM,SBSN,Santarém,MAO,SBEG,Manaus,589.36
True,Gol,"8:50 PM on Fri, Sep 19","10:15 PM on Fri, Sep 19",1 hr 25 min,0,1151,BSB,SBBR,Brasília,PMW,SBPJ,Palmas,619.05
True,Gol,"1:25 PM on Fri, Sep 19","2:40 PM on Fri, Sep 19",1 hr 15 min,0,289,IZA,SBZM,Zona da Mata,CGH,SBSP,Congonhas,427.86
True,Gol,"12:35 PM on Fri, Sep 19","1:25 PM on Fri, Sep 19",50 min,0,327,AJU,SBAR,Aracaju,SSA,SBSV,Salvador,252.55
True,Gol,"8:25 AM on Fri, Sep 19","9:40 AM on Fri, Sep 19",2 hr 15 min,0,304,GRU,SBGR,Guarulhos,CGB,SBCY,Cuiabá,1328.46
True,Gol,"11:30 AM on Fri, Sep 19","12:45 PM on Fri, Sep 19",1 hr 15 min,0,608,CGH,SBSP,Congonhas,IZA,SBZM,Zona da Mata,427.86
True,Gol,"9:45 PM on Fri, Sep 19","12:25 AM on Sat, Sep 20",2 hr 40 min,0,648,GRU,SBGR,Guarulhos,PNZ,SBPL,Petrolina,1679.19
True,Gol,"9:30 AM on Fri, Sep 19","11:15 AM on Fri, Sep 19",2 hr 45 min,0,301,GRU,SBGR,Guarulhos,OPS,SWSI,Sinop,1601.81
True,Gol,"3:35 AM on Fri, Sep 19","6:40 AM on Fri, Sep 19",3 hr 5 min,0,501,MCZ,SBMO,Maceió,CGH,SBSP,Congonhas,1943.16
True,Gol,"9:40 AM on Fri, Sep 19","1:30 PM on Fri, Sep 19",3 hr 50 min,0,1631,GRU,SBGR,Guarulhos,MDZ,SAME,Mendoza,2420.43
